text,debts,funeral_expenses,bequests,wife,husband,son,daughter,father,mother,brother,sister,grandchild
"The estate is worth $801,536.08. There are debts of $136,423.38. Funeral expenses amount to $7,866.29. A bequest of $70,554.96 was specified. The survivors include a wife, 5 sons, 4 daughters, 2 brothers, 2 grandchildren.",136423.38,7866.29,70554.96,1,0,5,4,0,0,2,0,2
"The estate is worth $943,375.41. There are debts of $178,819.05. Funeral expenses amount to $9,078.99. A bequest of $150,491.37 was specified. The survivors include a wife, a husband, 4 sons, 5 daughters, a mother, 2 brothers, 3 sisters, 2 grandchildren.",178819.05,9078.99,150491.37,1,1,4,5,0,1,2,3,2
"The estate is worth $678,251.95. There are debts of $137,791.13. Funeral expenses amount to $6,276.24. A bequest of $19,846.02 was specified. The survivors include a wife, a husband, 3 sons, 5 daughters, 2 brothers, 2 sisters, 1 grandchildren.",137791.13,6276.24,19846.02,1,1,3,5,0,0,2,2,1
"The estate is worth $364,967.06. There are debts of $74,310.09. Funeral expenses amount to $9,243.89. A bequest of $81,648.92 was specified. The survivors include 4 sons, 1 brothers, 3 sisters, 2 grandchildren.",74310.09,9243.89,81648.92,0,0,4,0,0,0,1,3,2
"The estate is worth $663,414.47. There are debts of $2,302.81. Funeral expenses amount to $7,015.85. A bequest of $15,827.62 was specified. The survivors include a wife, a husband, 3 sons, 2 daughters, a father, 2 brothers, 3 sisters, 2 grandchildren.",2302.81,7015.85,15827.62,1,1,3,2,1,0,2,3,2
"The estate is worth $152,855.39. There are debts of $454.23. Funeral expenses amount to $7,859.73. A bequest of $1,920.94 was specified. The survivors include a husband, 2 daughters, a mother, 1 sisters, 2 grandchildren.",454.23,7859.73,1920.94,0,1,0,2,0,1,0,1,2
"The estate is worth $874,231.23. There are debts of $119,838.38. Funeral expenses amount to $6,566.38. A bequest of $116,758.65 was specified. The survivors include a wife, 4 daughters, a father, 3 sisters, 1 grandchildren.",119838.38,6566.38,116758.65,1,0,0,4,1,0,0,3,1
"The estate is worth $987,696.65. There are debts of $231,182.46. Funeral expenses amount to $5,514.04. A bequest of $15,032.18 was specified. The survivors include a wife, 4 sons, 3 daughters, a mother, 2 brothers, 2 grandchildren.",231182.46,5514.04,15032.18,1,0,4,3,0,1,2,0,2
"The estate is worth $145,580.01. There are debts of $22,278.96. Funeral expenses amount to $8,393.35. A bequest of $23,531.65 was specified. The survivors include a wife, a husband, 3 sons, 3 daughters, a father, 1 grandchildren.",22278.96,8393.35,23531.65,1,1,3,3,1,0,0,0,1
"The estate is worth $224,763.32. There are debts of $34,925.84. Funeral expenses amount to $3,205.23. A bequest of $40,562.09 was specified. The survivors include a wife, 1 sons, 2 daughters, a father, 1 brothers, 1 sisters.",34925.84,3205.23,40562.09,1,0,1,2,1,0,1,1,0
"The estate is worth $480,258.10. There are debts of $63,812.02. Funeral expenses amount to $2,239.10. A bequest of $1,991.06 was specified. The survivors include 4 sons, 5 daughters, 2 brothers, 3 sisters, 1 grandchildren.",63812.02,2239.1,1991.06,0,0,4,5,0,0,2,3,1
"The estate is worth $826,586.56. There are debts of $170,911.36. Funeral expenses amount to $2,672.92. A bequest of $175,560.05 was specified. The survivors include a wife, 1 daughters, a father, 3 brothers, 1 sisters, 2 grandchildren.",170911.36,2672.92,175560.05,1,0,0,1,1,0,3,1,2
"The estate is worth $615,914.48. There are debts of $90,924.29. Funeral expenses amount to $4,954.29. A bequest of $66,442.67 was specified. The survivors include a wife, 3 sons, 2 daughters, a father, 1 brothers, 1 sisters, 2 grandchildren.",90924.29,4954.29,66442.67,1,0,3,2,1,0,1,1,2
"The estate is worth $271,304.66. There are debts of $28,823.77. Funeral expenses amount to $9,351.91. A bequest of $43,252.88 was specified. The survivors include a wife, a husband, 5 sons, 5 daughters, a mother, 2 brothers, 3 sisters, 1 grandchildren.",28823.77,9351.91,43252.88,1,1,5,5,0,1,2,3,1
"The estate is worth $990,266.97. There are debts of $203,789.75. Funeral expenses amount to $1,953.42. A bequest of $211,296.36 was specified. The survivors include a wife, a husband, 1 sons, 5 daughters, a father, a mother, 2 sisters, 2 grandchildren.",203789.75,1953.42,211296.36,1,1,1,5,1,1,0,2,2
"The estate is worth $537,933.45. There are debts of $19,753.66. Funeral expenses amount to $7,495.09. A bequest of $163,135.71 was specified. The survivors include a husband, 4 daughters, a father, 2 grandchildren.",19753.66,7495.09,163135.71,0,1,0,4,1,0,0,0,2
"The estate is worth $246,759.18. There are debts of $60,502.63. Funeral expenses amount to $5,961.53. A bequest of $4,686.88 was specified. The survivors include a wife, 3 daughters, a mother, 1 brothers, 2 sisters.",60502.63,5961.53,4686.88,1,0,0,3,0,1,1,2,0
"The estate is worth $888,881.08. There are debts of $109,725.51. Funeral expenses amount to $8,571.04. A bequest of $72,191.97 was specified. The survivors include a wife, 5 sons, 4 daughters, a father, a mother, 2 brothers, 3 sisters, 1 grandchildren.",109725.51,8571.04,72191.97,1,0,5,4,1,1,2,3,1
